name,frame,angle,dilation,regions,pathCells,fill,segments,failure
apple,square-78,0,1,1,3708,0.6095,243,""
apple,square-78,0,2,1,3428,0.5634,227,""
apple,square-78,15,1,1,2424,0.3984,148,""
apple,square-78,15,2,1,2208,0.3629,142,""
apple,square-78,30,1,1,1940,0.3189,132,""
apple,square-78,30,2,1,1704,0.2801,121,""
apple,square-78,45,1,1,1804,0.2965,126,""
apple,square-78,45,2,1,1596,0.2623,116,""
apple,square-78,60,1,1,1940,0.3189,122,""
apple,square-78,60,2,1,1704,0.2801,121,""
apple,square-78,75,1,1,2420,0.3978,141,""
apple,square-78,75,2,1,2208,0.3629,150,""
apple,square-78,90,1,1,3708,0.6095,236,""
apple,square-78,90,2,1,3428,0.5634,225,""
apple,square-78,105,1,1,2424,0.3984,179,""
apple,square-78,105,2,1,2208,0.3629,159,""
apple,square-78,120,1,1,1940,0.3189,125,""
apple,square-78,120,2,1,1704,0.2801,130,""
apple,square-78,135,1,1,1804,0.2965,116,""
apple,square-78,135,2,1,1596,0.2623,100,""
apple,square-78,150,1,1,1940,0.3189,140,""
apple,square-78,150,2,1,1704,0.2801,114,""
apple,square-78,165,1,1,2420,0.3978,154,""
apple,square-78,165,2,1,2208,0.3629,147,""
apple,square-60,0,1,1,2120,0.5889,156,""
apple,square-60,0,2,1,1892,0.5256,121,""
apple,square-60,15,1,1,1372,0.3811,90,""
apple,square-60,15,2,1,1196,0.3322,83,""
apple,square-60,30,1,1,1084,0.3011,75,""
apple,square-60,30,2,1,920,0.2556,60,""
apple,square-60,45,1,1,1012,0.2811,71,""
apple,square-60,45,2,1,892,0.2478,69,""
apple,square-60,60,1,1,1084,0.3011,71,""
apple,square-60,60,2,1,920,0.2556,62,""
apple,square-60,75,1,1,1372,0.3811,103,""
apple,square-60,75,2,1,1200,0.3333,87,""
apple,square-60,90,1,1,2120,0.5889,157,""
apple,square-60,90,2,1,1892,0.5256,115,""
apple,square-60,105,1,1,1372,0.3811,80,""
apple,square-60,105,2,1,1196,0.3322,80,""
apple,square-60,120,1,1,1084,0.3011,74,""
apple,square-60,120,2,1,920,0.2556,57,""
apple,square-60,135,1,1,1012,0.2811,80,""
apple,square-60,135,2,1,892,0.2478,51,""
apple,square-60,150,1,1,1084,0.3011,71,""
apple,square-60,150,2,1,920,0.2556,74,""
apple,square-60,165,1,1,1372,0.3811,108,""
apple,square-60,165,2,1,1200,0.3333,86,""
apple,portrait-72x120,0,1,1,3144,0.3639,215,""
apple,portrait-72x120,0,2,1,2896,0.3352,198,""
apple,portrait-72x120,15,1,1,2048,0.2370,118,""
apple,portrait-72x120,15,2,1,1840,0.2130,124,""
apple,portrait-72x120,30,1,1,1628,0.1884,118,""
apple,portrait-72x120,30,2,1,1444,0.1671,96,""
apple,portrait-72x120,45,1,1,1512,0.1750,107,""
apple,portrait-72x120,45,2,1,1324,0.1532,89,""
apple,portrait-72x120,60,1,1,1624,0.1880,110,""
apple,portrait-72x120,60,2,1,1444,0.1671,103,""
apple,portrait-72x120,75,1,1,2048,0.2370,146,""
apple,portrait-72x120,75,2,1,1840,0.2130,111,""
apple,portrait-72x120,90,1,1,3144,0.3639,213,""
apple,portrait-72x120,90,2,1,2896,0.3352,170,""
apple,portrait-72x120,105,1,1,2048,0.2370,152,""
apple,portrait-72x120,105,2,1,1840,0.2130,134,""
apple,portrait-72x120,120,1,1,1628,0.1884,108,""
apple,portrait-72x120,120,2,1,1444,0.1671,82,""
apple,portrait-72x120,135,1,1,1512,0.1750,108,""
apple,portrait-72x120,135,2,1,1324,0.1532,101,""
apple,portrait-72x120,150,1,1,1624,0.1880,111,""
apple,portrait-72x120,150,2,1,1444,0.1671,83,""
apple,portrait-72x120,165,1,1,2048,0.2370,144,""
apple,portrait-72x120,165,2,1,1840,0.2130,124,""
apple,portrait-60x100,0,1,1,2120,0.3533,156,""
apple,portrait-60x100,0,2,1,1892,0.3153,121,""
apple,portrait-60x100,15,1,1,1372,0.2287,90,""
apple,portrait-60x100,15,2,1,1196,0.1993,83,""
apple,portrait-60x100,30,1,1,1084,0.1807,75,""
apple,portrait-60x100,30,2,1,920,0.1533,60,""
apple,portrait-60x100,45,1,1,1012,0.1687,71,""
apple,portrait-60x100,45,2,1,892,0.1487,69,""
apple,portrait-60x100,60,1,1,1084,0.1807,71,""
apple,portrait-60x100,60,2,1,920,0.1533,62,""
apple,portrait-60x100,75,1,1,1372,0.2287,103,""
apple,portrait-60x100,75,2,1,1200,0.2000,87,""
apple,portrait-60x100,90,1,1,2120,0.3533,157,""
apple,portrait-60x100,90,2,1,1892,0.3153,115,""
apple,portrait-60x100,105,1,1,1372,0.2287,80,""
apple,portrait-60x100,105,2,1,1196,0.1993,80,""
apple,portrait-60x100,120,1,1,1084,0.1807,74,""
apple,portrait-60x100,120,2,1,920,0.1533,57,""
apple,portrait-60x100,135,1,1,1012,0.1687,80,""
apple,portrait-60x100,135,2,1,892,0.1487,51,""
apple,portrait-60x100,150,1,1,1084,0.1807,71,""
apple,portrait-60x100,150,2,1,920,0.1533,74,""
apple,portrait-60x100,165,1,1,1372,0.2287,108,""
apple,portrait-60x100,165,2,1,1200,0.2000,86,""
apple,portrait-52x92,0,1,1,1560,0.3261,126,""
apple,portrait-52x92,0,2,1,1352,0.2826,97,""
apple,portrait-52x92,15,1,1,992,0.2074,75,""
apple,portrait-52x92,15,2,1,872,0.1823,55,""
apple,portrait-52x92,30,1,1,788,0.1647,49,""
apple,portrait-52x92,30,2,1,660,0.1380,50,""
apple,portrait-52x92,45,1,1,760,0.1589,47,""
apple,portrait-52x92,45,2,1,596,0.1246,36,""
apple,portrait-52x92,60,1,1,784,0.1639,55,""
apple,portrait-52x92,60,2,1,660,0.1380,38,""
apple,portrait-52x92,75,1,1,992,0.2074,74,""
apple,portrait-52x92,75,2,1,872,0.1823,58,""
apple,portrait-52x92,90,1,1,1560,0.3261,86,""
apple,portrait-52x92,90,2,1,1352,0.2826,91,""
apple,portrait-52x92,105,1,1,992,0.2074,56,""
apple,portrait-52x92,105,2,1,872,0.1823,69,""
apple,portrait-52x92,120,1,1,788,0.1647,66,""
apple,portrait-52x92,120,2,1,660,0.1380,36,""
apple,portrait-52x92,135,1,1,760,0.1589,51,""
