source,route,name,size,stroke,profile,inkCells,facesPre,facesPreLargest,regions,pathCells,segments,coverage,bendRate,dagDepth,failure
"lucide","line-art","apple",40,2,"default",221,1,688,1,744,47,1,0.4110512129380054,12,""
"lucide","line-art","apple",40,2,"authored",221,1,688,1,744,47,1,0.4110512129380054,12,""
"lucide","line-art","apple",40,3,"default",335,1,640,1,688,51,1,0.4067055393586006,9,""
"lucide","line-art","apple",40,3,"authored",335,1,640,1,688,51,1,0.4067055393586006,9,""
"lucide","line-art","apple",40,4,"default",443,1,592,1,652,44,1,0.41384615384615386,10,""
"lucide","line-art","apple",40,4,"authored",443,1,592,1,652,44,1,0.41384615384615386,10,""
"lucide","line-art","apple",40,6,"default",666,1,503,1,552,29,1,0.42363636363636364,6,""
"lucide","line-art","apple",40,6,"authored",666,1,503,1,552,29,1,0.42363636363636364,6,""
"lucide","line-art","apple",60,2,"default",331,1,1633,1,1720,102,1,0.40570430733410945,14,""
"lucide","line-art","apple",60,2,"authored",331,1,1633,1,1720,102,1,0.40570430733410945,14,""
"lucide","line-art","apple",60,3,"default",484,1,1542,1,1640,106,1,0.405982905982906,13,""
"lucide","line-art","apple",60,3,"authored",484,1,1542,1,1640,106,1,0.405982905982906,13,""
"lucide","line-art","apple",60,4,"default",657,1,1482,1,1584,114,1,0.3950695322376738,20,""
"lucide","line-art","apple",60,4,"authored",657,1,1482,1,1584,114,1,0.3950695322376738,20,""
"lucide","line-art","apple",60,6,"default",981,1,1339,1,1416,88,1,0.400990099009901,18,""
"lucide","line-art","apple",60,6,"authored",981,1,1339,1,1416,88,1,0.400990099009901,18,""
"lucide","line-art","apple",78,2,"default",437,1,2774,1,2884,191,1,0.4028452463566967,19,""
"lucide","line-art","apple",78,2,"authored",437,1,2774,1,2884,191,1,0.4028452463566967,19,""
"lucide","line-art","apple",78,3,"default",650,1,2689,1,2812,208,1,0.4081850533807829,23,""
"lucide","line-art","apple",78,3,"authored",650,1,2689,1,2812,208,1,0.4081850533807829,23,""
"lucide","line-art","apple",78,4,"default",881,1,2581,1,2700,179,1,0.4110452186805041,19,""
"lucide","line-art","apple",78,4,"authored",881,1,2581,1,2700,179,1,0.4110452186805041,19,""
"lucide","line-art","apple",78,6,"default",1302,1,2398,1,2500,163,1,0.40072057646116893,17,""
"lucide","line-art","apple",78,6,"authored",1302,1,2398,1,2500,163,1,0.40072057646116893,17,""
"lucide","line-art","apple",100,2,"default",561,1,4662,1,4828,341,1,0.40302527973477,33,""
"lucide","line-art","apple",100,2,"authored",561,1,4662,1,4828,341,1,0.40302527973477,33,""
"lucide","line-art","apple",100,3,"default",830,1,4535,1,4664,326,1,0.4013299013299013,26,""
"lucide","line-art","apple",100,3,"authored",830,1,4535,1,4664,326,1,0.4013299013299013,26,""
"lucide","line-art","apple",100,4,"default",1113,1,4419,1,4592,300,1,0.39760348583877997,25,""
"lucide","line-art","apple",100,4,"authored",1113,1,4419,1,4592,300,1,0.39760348583877997,25,""
"lucide","line-art","apple",100,6,"default",1681,1,4170,1,4320,299,1,0.3990273274664196,23,""
"lucide","line-art","apple",100,6,"authored",1681,1,4170,1,4320,299,1,0.3990273274664196,23,""
"lucide","line-art","banana",40,2,"default",263,2,140,1,328,21,1,0.3834355828220859,5,""
"lucide","line-art","banana",40,2,"authored",263,2,140,1,324,18,1,0.4254658385093168,6,""
"lucide","line-art","banana",40,3,"default",399,2,114,2,244,15,1,0.4166666666666667,7,""
"lucide","line-art","banana",40,3,"authored",399,2,114,2,244,15,1,0.4166666666666667,7,""
"lucide","line-art","banana",40,4,"default",516,2,91,2,172,12,1,0.4523809523809524,5,""
"lucide","line-art","banana",40,4,"authored",516,2,91,2,172,12,1,0.4523809523809524,5,""
"lucide","line-art","banana",40,6,"default",765,2,46,2,64,5,1,0.55,2,""
"lucide","line-art","banana",40,6,"authored",765,2,46,2,64,5,1,0.55,2,""
"lucide","line-art","banana",60,2,"default",397,2,368,1,764,67,1,0.39501312335958005,11,""
"lucide","line-art","banana",60,2,"authored",397,2,368,1,756,68,1,0.39655172413793105,10,""
"lucide","line-art","banana",60,3,"default",584,2,316,1,692,52,1,0.41884057971014493,8,""
"lucide","line-art","banana",60,3,"authored",584,2,316,2,688,48,1,0.43567251461988304,13,""
"lucide","line-art","banana",60,4,"default",794,2,273,2,584,44,1,0.40344827586206894,6,""
"lucide","line-art","banana",60,4,"authored",794,2,273,2,584,44,1,0.40344827586206894,6,""
"lucide","line-art","banana",60,6,"default",1175,2,201,2,416,22,1,0.4199029126213592,6,""
"lucide","line-art","banana",60,6,"authored",1175,2,201,2,416,22,1,0.4199029126213592,6,""
"lucide","line-art","banana",78,2,"default",519,2,644,1,1312,99,1,0.4083969465648855,10,""
"lucide","line-art","banana",78,2,"authored",519,2,644,1,1304,86,1,0.3955453149001536,11,""
"lucide","line-art","banana",78,3,"default",793,2,586,1,1208,85,1,0.4087893864013267,11,""
"lucide","line-art","banana",78,3,"authored",793,2,586,2,1188,99,1,0.40202702702702703,10,""
"lucide","line-art","banana",78,4,"default",1030,2,531,2,1076,65,1,0.416044776119403,10,""
"lucide","line-art","banana",78,4,"authored",1030,2,531,2,1076,65,1,0.416044776119403,10,""
"lucide","line-art","banana",78,6,"default",1539,2,417,2,856,65,1,0.41784037558685444,6,""
"lucide","line-art","banana",78,6,"authored",1539,2,417,2,856,65,1,0.41784037558685444,6,""
"lucide","line-art","banana",100,2,"default",664,2,1117,1,2232,162,1,0.41659192825112107,14,""
"lucide","line-art","banana",100,2,"authored",664,2,1117,1,2220,150,1,0.4053201082055906,12,""
"lucide","line-art","banana",100,3,"default",1002,2,1029,1,2092,137,1,0.391866028708134,16,""
"lucide","line-art","banana",100,3,"authored",1002,2,1029,1,2064,142,1,0.4165858389912706,13,""
"lucide","line-art","banana",100,4,"default",1318,2,970,2,1904,136,1,0.4047368421052632,14,""
"lucide","line-art","banana",100,4,"authored",1318,2,970,2,1904,136,1,0.4047368421052632,14,""
"lucide","line-art","banana",100,6,"default",1996,2,820,2,1640,116,1,0.4070904645476773,16,""
"lucide","line-art","banana",100,6,"authored",1996,2,820,2,1640,116,1,0.4070904645476773,16,""
"lucide","line-art","bike",40,2,"default",227,3,74,2,168,12,1,0.3902439024390244,3,""
"lucide","line-art","bike",40,2,"authored",227,3,74,2,168,12,1,0.3902439024390244,3,""
"lucide","line-art","bike",40,3,"default",333,2,57,2,168,12,1,0.3902439024390244,3,""
"lucide","line-art","bike",40,3,"authored",333,2,57,2,168,12,1,0.3902439024390244,3,""
"lucide","line-art","bike",40,4,"default",459,2,50,2,144,18,1,0.5,5,""
"lucide","line-art","bike",40,4,"authored",459,2,50,2,144,18,1,0.5,5,""
"lucide","line-art","bike",40,6,"default",679,5,28,2,40,3,1,0.6111111111111112,2,""
"lucide","line-art","bike",40,6,"authored",679,5,28,2,40,3,1,0.6111111111111112,2,""
"lucide","line-art","bike",60,2,"default",334,3,185,2,432,22,1,0.4182242990654206,8,""
"lucide","line-art","bike",60,2,"authored",334,3,185,2,432,22,1,0.4182242990654206,8,""
"lucide","line-art","bike",60,3,"default",497,3,163,2,392,23,1,0.422680412371134,7,""
"lucide","line-art","bike",60,3,"authored",497,3,163,2,392,23,1,0.422680412371134,7,""
"lucide","line-art","bike",60,4,"default",681,3,139,2,312,18,1,0.4025974025974026,5,""
"lucide","line-art","bike",60,4,"authored",681,3,139,2,312,18,1,0.4025974025974026,5,""
"lucide","line-art","bike",60,6,"default",1045,4,99,2,256,15,1,0.4126984126984127,8,""
"lucide","line-art","bike",60,6,"authored",1045,4,99,2,256,15,1,0.4126984126984127,8,""
"lucide","line-art","bike",78,2,"default",452,3,331,2,736,55,1,0.40846994535519127,8,""
"lucide","line-art","bike",78,2,"authored",452,3,331,2,736,55,1,0.40846994535519127,8,""
"lucide","line-art","bike",78,3,"default",678,3,297,2,664,59,1,0.4106060606060606,12,""
"lucide","line-art","bike",78,3,"authored",678,3,297,2,664,59,1,0.4106060606060606,12,""
"lucide","line-art","bike",78,4,"default",895,3,269,2,616,46,1,0.4133986928104575,11,""
"lucide","line-art","bike",78,4,"authored",895,3,269,2,616,46,1,0.4133986928104575,11,""
"lucide","line-art","bike",78,6,"default",1366,2,213,2,480,27,1,0.39705882352941174,7,""
"lucide","line-art","bike",78,6,"authored",1366,2,213,2,480,27,1,0.39705882352941174,7,""
"lucide","line-art","bike",100,2,"default",555,3,580,3,1256,88,1,0.4296,14,""
"lucide","line-art","bike",100,2,"authored",555,3,580,3,1256,88,1,0.4296,14,""
"lucide","line-art","bike",100,3,"default",836,3,538,3,1180,89,1,0.403747870528109,15,""
"lucide","line-art","bike",100,3,"authored",836,3,538,3,1180,89,1,0.403747870528109,15,""
"lucide","line-art","bike",100,4,"default",1170,3,491,3,1116,81,1,0.40540540540540543,21,""
"lucide","line-art","bike",100,4,"authored",1170,3,491,3,1116,81,1,0.40540540540540543,21,""
"lucide","line-art","bike",100,6,"default",1717,3,421,2,920,68,1,0.4148471615720524,11,""
"lucide","line-art","bike",100,6,"authored",1717,3,421,2,920,68,1,0.4148471615720524,11,""
"lucide","line-art","bird",40,2,"default",251,2,201,1,352,21,1,0.42,6,""
"lucide","line-art","bird",40,2,"authored",251,2,201,1,348,23,1,0.4190751445086705,5,""
"lucide","line-art","bird",40,3,"default",365,2,169,2,272,21,1,0.4253731343283582,6,""
"lucide","line-art","bird",40,3,"authored",365,2,169,2,272,21,1,0.4253731343283582,6,""
"lucide","line-art","bird",40,4,"default",474,2,135,2,248,14,1,0.4426229508196721,6,""
"lucide","line-art","bird",40,4,"authored",474,2,135,2,244,22,1,0.4583333333333333,6,""
"lucide","line-art","bird",40,6,"default",706,5,64,2,84,9,1,0.475,5,""
"lucide","line-art","bird",40,6,"authored",706,5,64,2,84,9,1,0.475,5,""
"lucide","line-art","bird",60,2,"default",355,2,529,1,888,65,1,0.39164785553047404,13,""
"lucide","line-art","bird",60,2,"authored",355,2,529,1,884,66,1,0.3956916099773243,13,""
"lucide","line-art","bird",60,3,"default",526,2,463,1,816,48,1,0.37714987714987713,11,""
"lucide","line-art","bird",60,3,"authored",526,2,463,1,780,63,1,0.397172236503856,9,""
"lucide","line-art","bird",60,4,"default",723,2,418,2,688,41,1,0.4415204678362573,5,""
