name,faces,regions,pathCells,fill,segments,verdict
a-arrow-down,1,1,244,0.0401,16,thin
alarm-clock,1,1,2512,0.4129,171,single-face
alert-octagon,1,1,4376,0.7193,283,single-face
align-horizontal-justify-center,2,2,1616,0.2656,110,multi-face
align-vertical-distribute-center,2,2,1616,0.2656,108,multi-face
ampersands,4,4,636,0.1045,55,thin
app-window-mac,1,1,4220,0.6936,292,single-face
arrow-big-left-dash,1,1,1744,0.2867,123,single-face
arrow-down-a-z,1,1,236,0.0388,15,thin
arrow-down-right-from-circle,0,0,0,0.0000,0,failed
arrow-left,0,0,0,0.0000,0,failed
arrow-right-square,1,1,5152,0.8468,380,single-face
arrow-up-down,0,0,0,0.0000,0,failed
arrow-up-right-from-square,0,0,0,0.0000,0,failed
astroid,1,1,1796,0.2952,128,single-face
axis-3d,0,0,0,0.0000,0,failed
badge-indian-rupee,1,1,3340,0.5490,238,single-face
badge-turkish-lira,1,1,3468,0.5700,230,single-face
banknote-check,1,1,112,0.0184,6,thin
barrel,9,9,3756,0.6174,265,multi-face
beaker,2,2,3520,0.5786,239,multi-face
bell,1,1,2312,0.3800,149,single-face
between-horizontal-end,2,2,2568,0.4221,168,multi-face
birdhouse,2,2,2024,0.3327,131,multi-face
bold,2,2,3668,0.6029,260,multi-face
book-copy,2,2,2212,0.3636,131,multi-face
book-open,2,2,4096,0.6732,282,multi-face
book-user,3,3,3740,0.6147,227,multi-face
bot-message-square,1,1,2440,0.4011,179,single-face
brain-circuit,1,1,1824,0.2998,116,single-face
broccoli,1,1,3240,0.5325,238,single-face
building-2,4,4,3696,0.6075,278,multi-face
calendar-arrow-down,1,1,1436,0.2360,111,single-face
calendar-minus-2,2,2,4564,0.7502,279,multi-face
camera,2,2,3472,0.5707,247,multi-face
car,3,3,2096,0.3445,141,multi-face
cassette-tape,4,4,3692,0.6068,262,multi-face
chart-bar-increasing,0,0,0,0.0000,0,failed
chart-network,3,3,432,0.0710,37,thin
check-check,0,0,0,0.0000,0,failed
chess-knight,2,2,2916,0.4793,215,multi-face
chevron-left-circle,1,1,4064,0.6680,272,single-face
chevrons-left,0,0,0,0.0000,0,failed
circle-check,1,1,4084,0.6713,276,single-face
circle-dot-dashed,1,1,20,0.0033,1,thin
circle-parking,2,2,3900,0.6410,246,multi-face
circle-slash,1,1,4044,0.6647,281,single-face
circle,1,1,4192,0.6890,304,single-face
citrus,5,5,2372,0.3899,151,multi-face
clipboard-pen,2,2,872,0.1433,51,thin
clock-12,1,1,4144,0.6811,277,single-face
clock-arrow-down,0,0,0,0.0000,0,failed
cloud-backup,0,0,0,0.0000,0,failed
cloud-off,1,1,1428,0.2347,89,single-face
club,1,1,3236,0.5319,187,single-face
columns-3,3,3,5052,0.8304,359,multi-face
cone,2,2,2476,0.4070,169,multi-face
copy-check,1,1,2360,0.3879,172,single-face
corner-left-up,0,0,0,0.0000,0,failed
cross,1,1,2580,0.4241,187,single-face
database-arrow-down,1,1,1016,0.1670,63,single-face
decimals-arrow-right,2,2,1008,0.1657,65,multi-face
dice-3,1,1,5344,0.8784,432,single-face
divide,2,2,40,0.0066,3,thin
door-closed-locked,2,2,552,0.0907,46,thin
droplet,1,1,2296,0.3774,153,single-face
eclipse,2,2,3908,0.6423,260,multi-face
ellipsis-vertical,3,3,60,0.0099,8,thin
external-link,0,0,0,0.0000,0,failed
face-slightly-smiling,1,1,4040,0.6640,302,single-face
file-audio,3,3,524,0.0861,35,thin
file-braces-corner,1,1,200,0.0329,15,thin
file-code-2,1,1,200,0.0329,15,thin
file-heart,2,2,624,0.1026,37,thin
file-minus,2,2,3872,0.6364,278,multi-face
file-plus-2,1,1,200,0.0329,15,thin
file-sliders,2,2,3676,0.6042,244,multi-face
file-user,4,4,3592,0.5904,240,multi-face
files,2,2,1992,0.3274,122,multi-face
fishing-hook,1,1,104,0.0171,8,thin
flask-conical,2,2,2128,0.3498,141,multi-face
fold-horizontal,0,0,0,0.0000,0,failed
folder-cog-2,1,1,304,0.0500,23,thin
folder-lock,2,2,552,0.0907,46,thin
folder-symlink,0,0,0,0.0000,0,failed
