cellIndex,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,seedCount,failureCount,failedSeeds,generationMsMean,generationMsMin,generationMsMax,attemptsMean,attemptsMin,attemptsMax,segmentCountMean,segmentCountMin,segmentCountMax,coverageMean,coverageMin,coverageMax,meanSegmentLengthMean,meanSegmentLengthMin,meanSegmentLengthMax,bendRateMean,bendRateMin,bendRateMax,dagDepthMean,dagDepthMin,dagDepthMax,meanFreeSetSizeMean,meanFreeSetSizeMin,meanFreeSetSizeMax,minFreeSetSizeMean,minFreeSetSizeMin,minFreeSetSizeMax,edgeCountMean,edgeCountMin,edgeCountMax,shortOfTargetMean,shortOfTargetMin,shortOfTargetMax,belowMinimumMean,belowMinimumMin,belowMinimumMax,wholeRunEscapesMean,wholeRunEscapesMin,wholeRunEscapesMax,shortStraightRunsMean,shortStraightRunsMin,shortStraightRunsMax
0,40,4,8,2,0.35,2,0.45,10,0,,19.179415500000005,13.593051000000003,39.706110000000024,1,1,1,118.4,109,138,1,1,1,6.204103135384638,5.304347826086956,6.752293577981652,0.37530508223806336,0.34383561643835614,0.3953168044077135,16.6,14,26,10.616954270074489,7.375,13.991735537190083,1.5,1,3,404.7,329,503,5.3,3,7,0,0,0,0,0,0,0,0,0
1,40,6,8,2,0.35,2,0.45,10,0,,11.300052599999987,9.754443999999921,13.465485999999999,1,1,1,94.8,82,103,1,1,1,7.743774360108209,7.223300970873787,8.975609756097562,0.37530508223806336,0.34383561643835614,0.3953168044077135,12.4,10,17,10.365641583088015,7.217391304347826,13.479166666666666,1.5,1,3,288.7,219,373,5,2,11,0,0,0,0,0,0,0,0,0
2,40,10,8,2,0.35,2,0.45,10,0,,9.167462699999987,6.913522999999941,15.44200699999999,1,1,1,70.5,55,83,1,1,1,10.512690991893114,8.91566265060241,13.163636363636364,0.37530508223806336,0.34383561643835614,0.3953168044077135,12.6,9,16,7.998123975048882,6.857142857142857,10.012820512820513,1.3,1,3,200.9,152,264,5.9,2,11,0,0,0,0,0,0,0.2,0,2
3,40,14,8,2,0.35,2,0.45,10,0,,6.3725770000000015,5.454074999999989,7.244711000000052,1,1,1,52.4,48,55,1,1,1,13.96488157335327,12.872727272727273,15.083333333333334,0.37530508223806336,0.34383561643835614,0.3953168044077135,9.9,7,12,7.02756133419341,5.245283018867925,9.50909090909091,1.2,1,2,136.7,105,171,4.5,1,8,0,0,0,0,0,0,0,0,0
4,40,20,8,2,0.35,2,0.45,10,0,,5.1014035000000035,4.552533999999923,5.625585000000001,1,1,1,39.7,37,42,1,1,1,18.431553804647514,17.61904761904762,19.783783783783782,0.37530508223806336,0.34383561643835614,0.3953168044077135,9.2,7,12,5.499935174315791,3.925,6.487804878048781,1.3,1,2,95.3,77,126,6.5,3,9,0,0,0,0,0,0,0.2,0,1
5,100,4,8,2,0.35,2,0.45,10,0,,177.2060587,162.82683599999996,194.83096,1,1,1,728.9,690,758,1,1,1,6.351053443642653,6.116094986807388,6.747826086956522,0.35212515204845324,0.34384515006524574,0.3620614984841923,48.7,38,60,25.453761197583866,20.616343490304708,31.078484438430312,1.2,1,2,5938.9,5575,6289,26.5,19,36,0,0,0,0,0,0,0,0,0
6,100,6,8,2,0.35,2,0.45,10,0,,152.02271510000008,139.4626900000003,164.36507100000017,1,1,1,612.9,563,639,1,1,1,7.557897852371591,7.179968701095461,8.213143872113676,0.35212515204845324,0.34384515006524574,0.3620614984841923,42,37,48,22.447903826391048,19.04851330203443,27.436893203883496,1.6,1,2,4851,4162,5354,28.7,19,35,0,0,0,0,0,0,0.5,0,4
7,100,10,8,2,0.35,2,0.45,10,0,,115.9047493999999,102.36662200000046,129.7623819999999,1,1,1,434.4,411,458,1,1,1,10.658486986268965,10.11353711790393,11.24087591240876,0.35212515204845324,0.34384515006524574,0.3620614984841923,35.1,30,42,19.752639357264947,16.13532110091743,23.03837471783296,1.2,1,2,3105.1,2746,3596,31.4,26,36,0,0,0,0,0,0,0.4,0,2
8,100,14,8,2,0.35,2,0.45,10,0,,84.32121230000011,73.41045800000029,90.03269100000034,1,1,1,330.5,313,350,1,1,1,14.011851597721847,13.234285714285715,14.811501597444089,0.35212515204845324,0.34384515006524574,0.3620614984841923,29.9,22,35,16.751708379792724,15.353658536585366,19.364217252396166,1.2,1,2,2178.1,1863,2349,33.2,21,47,0,0,0,0,0,0,1.2,0,3
9,100,20,8,2,0.35,2,0.45,10,0,,63.723126499999765,55.36758599999939,72.11219799999981,1,1,1,237.1,227,246,1,1,1,19.52309359818721,18.84552845528455,20.51101321585903,0.35212515204845324,0.34384515006524574,0.3620614984841923,26.9,19,36,13.847698543214335,10.34873949579832,16.687224669603523,1.3,1,3,1429.3,1278,1654,31.5,18,53,0,0,0,0,0,0,1.7,0,6
