cellIndex,seed,ok,error,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,attempts,generationMs,segmentCount,coverage,meanSegmentLength,bendRate,dagDepth,meanFreeSetSize,minFreeSetSize,edgeCount,shortOfTarget,belowMinimum,wholeRunEscapes,shortStraightRuns
0,1,true,,40,4,8,2,0.35,2,0.45,1,39.706110000000024,121,1,6.115702479338843,0.3617886178861789,15,10.760330578512397,3,407,7,0,0,0
0,2,true,,40,4,8,2,0.35,2,0.45,1,23.17710599999998,120,1,6.133333333333334,0.391008174386921,26,7.375,1,441,3,0,0,0
0,3,true,,40,4,8,2,0.35,2,0.45,1,20.133436000000017,132,1,5.636363636363637,0.37331536388140163,23,8.772727272727273,1,503,4,0,0,0
0,4,true,,40,4,8,2,0.35,2,0.45,1,15.781359000000009,110,1,6.654545454545454,0.3917808219178082,14,11.754545454545454,2,395,6,0,0,0
0,5,true,,40,4,8,2,0.35,2,0.45,1,15.61696599999999,112,1,6.321428571428571,0.3640226628895184,14,12.589285714285714,2,329,6,0,0,0
0,6,true,,40,4,8,2,0.35,2,0.45,1,16.57836900000001,138,1,5.304347826086956,0.34383561643835614,14,11.978260869565217,2,502,7,0,0,0
0,7,true,,40,4,8,2,0.35,2,0.45,1,15.068148000000008,112,1,6.464285714285714,0.3601108033240997,15,9.901785714285714,1,402,5,0,0,0
0,8,true,,40,4,8,2,0.35,2,0.45,1,16.865624000000025,121,1,6.016528925619835,0.3953168044077135,14,13.991735537190083,1,362,7,0,0,0
0,9,true,,40,4,8,2,0.35,2,0.45,1,15.27398599999998,109,1,6.752293577981652,0.3923705722070845,16,8.844036697247706,1,350,4,0,0,0
0,10,true,,40,4,8,2,0.35,2,0.45,1,13.593051000000003,109,1,6.6422018348623855,0.37950138504155123,15,10.20183486238532,1,356,4,0,0,0
1,1,true,,40,6,8,2,0.35,2,0.45,1,13.465485999999999,100,1,7.4,0.3617886178861789,12,10.24,1,301,5,0,0,0
1,2,true,,40,6,8,2,0.35,2,0.45,1,10.449389999999994,82,1,8.975609756097562,0.391008174386921,10,10.731707317073171,1,219,8,0,0,0
1,3,true,,40,6,8,2,0.35,2,0.45,1,11.344512000000009,103,1,7.223300970873787,0.37331536388140163,14,8.932038834951456,1,360,6,0,0,0
1,4,true,,40,6,8,2,0.35,2,0.45,1,11.562199999999962,98,1,7.469387755102041,0.3917808219178082,17,8.622448979591837,1,373,2,0,0,0
1,5,true,,40,6,8,2,0.35,2,0.45,1,12.186700999999971,96,1,7.375,0.3640226628895184,11,13.479166666666666,2,269,4,0,0,0
1,6,true,,40,6,8,2,0.35,2,0.45,1,10.174593999999956,92,1,7.956521739130435,0.34383561643835614,16,7.217391304347826,1,294,2,0,0,0
1,7,true,,40,6,8,2,0.35,2,0.45,1,11.429913000000056,95,1,7.621052631578947,0.3601108033240997,12,10.526315789473685,2,290,4,0,0,0
1,8,true,,40,6,8,2,0.35,2,0.45,1,9.754443999999921,84,1,8.666666666666666,0.3953168044077135,10,10.892857142857142,3,222,3,0,0,0
1,9,true,,40,6,8,2,0.35,2,0.45,1,10.796829000000002,98,1,7.510204081632653,0.3923705722070845,12,9.724489795918368,2,306,5,0,0,0
1,10,true,,40,6,8,2,0.35,2,0.45,1,11.836456999999996,100,1,7.24,0.37950138504155123,10,13.29,1,253,11,0,0,0
2,1,true,,40,10,8,2,0.35,2,0.45,1,10.20029199999999,83,1,8.91566265060241,0.3617886178861789,12,9.433734939759036,1,244,6,0,0,0
2,2,true,,40,10,8,2,0.35,2,0.45,1,15.44200699999999,78,1,9.435897435897436,0.391008174386921,9,10.012820512820513,1,169,8,0,0,0
2,3,true,,40,10,8,2,0.35,2,0.45,1,7.993134999999938,63,1,11.80952380952381,0.37331536388140163,14,6.857142857142857,1,208,2,0,0,0
2,4,true,,40,10,8,2,0.35,2,0.45,1,8.018834999999967,69,1,10.608695652173912,0.3917808219178082,13,7,3,210,7,0,0,0
2,5,true,,40,10,8,2,0.35,2,0.45,1,8.98118599999998,73,1,9.698630136986301,0.3640226628895184,16,6.931506849315069,1,196,6,0,0,2
2,6,true,,40,10,8,2,0.35,2,0.45,1,7.920064000000025,63,1,11.619047619047619,0.34383561643835614,10,7.523809523809524,2,160,5,0,0,0
2,7,true,,40,10,8,2,0.35,2,0.45,1,6.913522999999941,55,1,13.163636363636364,0.3601108033240997,10,8.854545454545455,1,152,3,0,0,0
2,8,true,,40,10,8,2,0.35,2,0.45,1,9.829680000000053,81,1,8.987654320987655,0.3953168044077135,15,7.91358024691358,1,264,4,0,0,0
2,9,true,,40,10,8,2,0.35,2,0.45,1,7.687949000000003,73,1,10.082191780821917,0.3923705722070845,13,8.095890410958905,1,211,11,0,0,0
2,10,true,,40,10,8,2,0.35,2,0.45,1,8.687955999999986,67,1,10.805970149253731,0.37950138504155123,14,7.358208955223881,1,195,7,0,0,0
3,1,true,,40,14,8,2,0.35,2,0.45,1,6.768656999999962,52,1,14.23076923076923,0.3617886178861789,11,6.0576923076923075,1,152,4,0,0,0
3,2,true,,40,14,8,2,0.35,2,0.45,1,6.281419000000028,55,1,13.381818181818181,0.391008174386921,11,6.6909090909090905,1,156,8,0,0,0
3,3,true,,40,14,8,2,0.35,2,0.45,1,6.319410000000062,53,1,14.037735849056604,0.37331536388140163,11,5.245283018867925,1,142,2,0,0,0
3,4,true,,40,14,8,2,0.35,2,0.45,1,6.481403999999998,50,1,14.64,0.3917808219178082,11,6.3,1,151,4,0,0,0
3,5,true,,40,14,8,2,0.35,2,0.45,1,7.244711000000052,55,1,12.872727272727273,0.3640226628895184,7,9.50909090909091,1,136,4,0,0,0
3,6,true,,40,14,8,2,0.35,2,0.45,1,6.290210999999999,53,1,13.81132075471698,0.34383561643835614,12,5.7924528301886795,1,171,1,0,0,0
3,7,true,,40,14,8,2,0.35,2,0.45,1,6.163890999999921,50,1,14.48,0.3601108033240997,8,7.62,2,111,6,0,0,0
3,8,true,,40,14,8,2,0.35,2,0.45,1,6.655310999999983,54,1,13.481481481481481,0.3953168044077135,9,8.61111111111111,1,107,7,0,0,0
3,9,true,,40,14,8,2,0.35,2,0.45,1,6.066681000000017,54,1,13.62962962962963,0.3923705722070845,9,6.7407407407407405,2,136,6,0,0,0
3,10,true,,40,14,8,2,0.35,2,0.45,1,5.454074999999989,48,1,15.083333333333334,0.37950138504155123,10,7.708333333333333,1,105,3,0,0,0
4,1,true,,40,20,8,2,0.35,2,0.45,1,5.170640999999932,42,1,17.61904761904762,0.3617886178861789,9,5.4523809523809526,1,97,9,0,0,1
4,2,true,,40,20,8,2,0.35,2,0.45,1,5.181910000000016,39,1,18.871794871794872,0.391008174386921,8,6.282051282051282,1,81,6,0,0,1
4,3,true,,40,20,8,2,0.35,2,0.45,1,4.686614999999961,38,1,19.57894736842105,0.37331536388140163,10,4.447368421052632,1,108,6,0,0,0
4,4,true,,40,20,8,2,0.35,2,0.45,1,4.552533999999923,37,1,19.783783783783782,0.3917808219178082,12,5.216216216216216,1,97,3,0,0,0
4,5,true,,40,20,8,2,0.35,2,0.45,1,4.797967000000085,37,1,19.135135135135137,0.3640226628895184,7,6.4324324324324325,2,92,7,0,0,0
4,6,true,,40,20,8,2,0.35,2,0.45,1,4.874912999999992,41,1,17.853658536585368,0.34383561643835614,11,4.878048780487805,1,97,7,0,0,0
4,7,true,,40,20,8,2,0.35,2,0.45,1,5.595011999999997,41,1,17.658536585365855,0.3601108033240997,9,6.487804878048781,1,90,9,0,0,0
4,8,true,,40,20,8,2,0.35,2,0.45,1,5.625585000000001,41,1,17.75609756097561,0.3953168044077135,7,6.341463414634147,2,88,9,0,0,0
4,9,true,,40,20,8,2,0.35,2,0.45,1,4.953291000000036,40,1,18.4,0.3923705722070845,11,3.925,1,126,5,0,0,0
4,10,true,,40,20,8,2,0.35,2,0.45,1,5.575567000000092,41,1,17.658536585365855,0.37950138504155123,8,5.536585365853658,2,77,4,0,0,0
5,1,true,,100,4,8,2,0.35,2,0.45,1,175.228658,737,1,6.377204884667571,0.36164325244785017,51,24.670284938941656,1,5772,23,0,0,0
5,2,true,,100,4,8,2,0.35,2,0.45,1,182.0174270000001,716,1,6.424581005586592,0.34471509351892127,53,22.548882681564248,1,5649,22,0,0,0
5,3,true,,100,4,8,2,0.35,2,0.45,1,169.07847100000004,739,1,6.2083897158322054,0.345617095508068,46,23.840324763193504,2,6289,30,0,0,0
5,4,true,,100,4,8,2,0.35,2,0.45,1,186.29275400000006,739,1,6.2354533152909335,0.3577941815023882,38,31.078484438430312,1,5893,19,0,0,0
5,5,true,,100,4,8,2,0.35,2,0.45,1,194.83096,758,1,6.116094986807388,0.3463530427276651,49,29.022427440633244,1,6021,36,0,0,0
5,6,true,,100,4,8,2,0.35,2,0.45,1,162.82683599999996,722,1,6.3988919667590025,0.3620614984841923,54,20.616343490304708,1,6061,33,0,0,0
5,7,true,,100,4,8,2,0.35,2,0.45,1,168.19250899999997,690,1,6.747826086956522,0.35797163730124626,42,25.99855072463768,1,5853,24,0,0,0
5,8,true,,100,4,8,2,0.35,2,0.45,1,173.69348300000001,734,1,6.267029972752043,0.34384515006524574,60,25.494550408719345,1,6203,22,0,0,0
5,9,true,,100,4,8,2,0.35,2,0.45,1,173.5771880000002,739,1,6.2679296346414075,0.35248380129589635,44,25.60622462787551,1,6073,32,0,0,0
5,10,true,,100,4,8,2,0.35,2,0.45,1,186.3223009999997,715,1,6.467132867132867,0.3487667676330593,50,25.661538461538463,2,5575,24,0,0,0
6,1,true,,100,6,8,2,0.35,2,0.45,1,155.44370400000025,619,1,7.592891760904685,0.36164325244785017,42,21.775444264943456,2,4753,26,0,0,0
6,2,true,,100,6,8,2,0.35,2,0.45,1,164.36507100000017,608,1,7.565789473684211,0.34471509351892127,41,23.45230263157895,1,4578,30,0,0,0
6,3,true,,100,6,8,2,0.35,2,0.45,1,146.86565199999995,639,1,7.179968701095461,0.345617095508068,43,19.04851330203443,2,5354,35,0,0,0
6,4,true,,100,6,8,2,0.35,2,0.45,1,157.15365599999996,595,1,7.74453781512605,0.3577941815023882,48,24.352941176470587,2,4584,35,0,0,4
6,5,true,,100,6,8,2,0.35,2,0.45,1,158.233248,618,1,7.501618122977346,0.3463530427276651,37,27.436893203883496,1,4680,27,0,0,1
6,6,true,,100,6,8,2,0.35,2,0.45,1,139.4626900000003,607,1,7.611202635914333,0.3620614984841923,47,20.196046128500825,1,4991,30,0,0,0
6,7,true,,100,6,8,2,0.35,2,0.45,1,160.84578199999987,634,1,7.34384858044164,0.35797163730124626,39,23.451104100946374,2,4902,19,0,0,0
6,8,true,,100,6,8,2,0.35,2,0.45,1,146.25084000000015,608,1,7.565789473684211,0.34384515006524574,44,21.773026315789473,2,5231,30,0,0,0
6,9,true,,100,6,8,2,0.35,2,0.45,1,149.47404200000028,638,1,7.260188087774295,0.35248380129589635,41,21.774294670846395,1,5275,27,0,0,0
6,10,true,,100,6,8,2,0.35,2,0.45,1,142.13246600000002,563,1,8.213143872113676,0.3487667676330593,38,21.21847246891652,2,4162,28,0,0,0
7,1,true,,100,10,8,2,0.35,2,0.45,1,110.64904100000012,433,1,10.854503464203233,0.36164325244785017,32,20.265588914549653,1,3011,36,0,0,0
7,2,true,,100,10,8,2,0.35,2,0.45,1,110.78171999999995,435,1,10.574712643678161,0.34471509351892127,42,21.650574712643678,1,3142,31,0,0,2
7,3,true,,100,10,8,2,0.35,2,0.45,1,102.36662200000046,436,1,10.522935779816514,0.345617095508068,35,16.13532110091743,1,3263,27,0,0,0
7,4,true,,100,10,8,2,0.35,2,0.45,1,110.49718600000051,418,1,11.023923444976077,0.3577941815023882,30,21.54066985645933,2,3041,35,0,0,0
7,5,true,,100,10,8,2,0.35,2,0.45,1,129.7623819999999,444,1,10.441441441441441,0.3463530427276651,33,19.164414414414413,1,3061,36,0,0,2
7,6,true,,100,10,8,2,0.35,2,0.45,1,114.13556299999982,411,1,11.24087591240876,0.3620614984841923,39,17.54501216545012,1,2746,29,0,0,0
7,7,true,,100,10,8,2,0.35,2,0.45,1,129.73837399999957,443,1,10.510158013544018,0.35797163730124626,34,23.03837471783296,1,3196,35,0,0,0
7,8,true,,100,10,8,2,0.35,2,0.45,1,115.77412399999957,434,1,10.599078341013826,0.34384515006524574,32,18.670506912442395,2,3021,28,0,0,0
7,9,true,,100,10,8,2,0.35,2,0.45,1,117.97159699999975,458,1,10.11353711790393,0.35248380129589635,38,18.812227074235807,1,3596,31,0,0,0
7,10,true,,100,10,8,2,0.35,2,0.45,1,117.37088499999936,432,1,10.703703703703704,0.3487667676330593,36,20.703703703703702,1,2974,26,0,0,0
8,1,true,,100,14,8,2,0.35,2,0.45,1,88.79624600000079,334,1,14.071856287425149,0.36164325244785017,30,18.323353293413174,1,2197,38,0,0,0
8,2,true,,100,14,8,2,0.35,2,0.45,1,90.03269100000034,333,1,13.813813813813814,0.34471509351892127,35,16.594594594594593,1,2209,35,0,0,2
8,3,true,,100,14,8,2,0.35,2,0.45,1,73.41045800000029,318,1,14.427672955974844,0.345617095508068,33,15.550314465408805,1,2300,23,0,0,0
8,4,true,,100,14,8,2,0.35,2,0.45,1,81.28617399999985,320,1,14.4,0.3577941815023882,32,15.896875,1,2083,21,0,0,0
8,5,true,,100,14,8,2,0.35,2,0.45,1,80.04933699999947,313,1,14.811501597444089,0.3463530427276651,22,19.364217252396166,2,1863,29,0,0,0
8,6,true,,100,14,8,2,0.35,2,0.45,1,85.1888200000003,333,1,13.873873873873874,0.3620614984841923,31,15.531531531531531,1,2122,47,0,0,2
8,7,true,,100,14,8,2,0.35,2,0.45,1,81.24976599999991,328,1,14.195121951219512,0.35797163730124626,27,15.353658536585366,1,2229,37,0,0,3
8,8,true,,100,14,8,2,0.35,2,0.45,1,89.04676300000028,339,1,13.569321533923304,0.34384515006524574,29,15.705014749262537,1,2294,24,0,0,2
8,9,true,,100,14,8,2,0.35,2,0.45,1,84.26131299999997,350,1,13.234285714285715,0.35248380129589635,30,17.725714285714286,2,2349,41,0,0,1
8,10,true,,100,14,8,2,0.35,2,0.45,1,89.89055499999995,337,1,13.72106824925816,0.3487667676330593,30,17.47181008902077,1,2135,37,0,0,2
9,1,true,,100,20,8,2,0.35,2,0.45,1,62.42244099999971,234,1,20.085470085470085,0.36164325244785017,22,13.162393162393162,3,1278,25,0,0,0
9,2,true,,100,20,8,2,0.35,2,0.45,1,67.10187799999949,242,1,19.00826446280992,0.34471509351892127,25,15.537190082644628,1,1381,40,0,0,5
9,3,true,,100,20,8,2,0.35,2,0.45,1,55.36758599999939,238,1,19.277310924369747,0.345617095508068,34,10.34873949579832,1,1550,30,0,0,4
9,4,true,,100,20,8,2,0.35,2,0.45,1,64.6799719999999,240,1,19.2,0.3577941815023882,33,16.108333333333334,1,1454,18,0,0,0
