cellIndex,seed,ok,error,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,attempts,generationMs,segmentCount,coverage,meanSegmentLength,bendRate,dagDepth,meanFreeSetSize,minFreeSetSize,edgeCount,shortOfTarget,belowMinimum,wholeRunEscapes,shortStraightRuns
0,1,true,,20,6,8,2,0.35,2,0.45,1,11.787163000000021,26,1,6.923076923076923,0.3651685393258427,6,4.115384615384615,2,39,1,0,0,0
0,2,true,,20,6,8,2,0.35,2,0.45,1,5.431647999999996,21,1,8,0.39156626506024095,9,4.619047619047619,1,26,1,0,0,0
0,3,true,,20,6,8,2,0.35,2,0.45,1,3.450162999999975,23,1,7.6521739130434785,0.3275862068965517,6,4.217391304347826,1,36,2,0,0,0
0,4,true,,20,6,8,2,0.35,2,0.45,1,3.0832750000000146,21,1,8.571428571428571,0.38202247191011235,8,3.619047619047619,1,31,1,0,0,0
0,5,true,,20,6,8,2,0.35,2,0.45,1,3.5742329999999924,27,1,6.37037037037037,0.40588235294117647,6,6.444444444444445,1,26,2,0,0,0
0,6,true,,20,6,8,2,0.35,2,0.45,1,3.471570999999983,25,1,7.52,0.41397849462365593,7,4.96,1,36,3,0,0,0
0,7,true,,20,6,8,2,0.35,2,0.45,1,4.701925000000017,28,1,6.428571428571429,0.38764044943820225,6,5.607142857142857,2,47,2,0,0,0
0,8,true,,20,6,8,2,0.35,2,0.45,1,3.210484000000008,28,1,6.285714285714286,0.4540229885057471,10,3.7142857142857144,1,60,3,0,0,0
0,9,true,,20,6,8,2,0.35,2,0.45,1,2.396749,27,1,6.814814814814815,0.42857142857142855,5,5.777777777777778,3,40,3,0,0,0
0,10,true,,20,6,8,2,0.35,2,0.45,1,2.4849950000000263,20,1,8,0.4240506329113924,5,4.2,2,37,2,0,0,0
0,11,true,,20,6,8,2,0.35,2,0.45,1,2.292580999999984,28,1,5.428571428571429,0.43333333333333335,9,3.5,1,45,1,0,0,0
0,12,true,,20,6,8,2,0.35,2,0.45,1,2.1103050000000394,21,1,8.571428571428571,0.46629213483146065,9,2.5714285714285716,1,24,2,0,0,0
0,13,true,,20,6,8,2,0.35,2,0.45,1,2.2697769999999764,22,1,7.636363636363637,0.42771084337349397,7,3.6818181818181817,1,37,1,0,0,0
0,14,true,,20,6,8,2,0.35,2,0.45,1,1.8730860000000007,22,1,8.363636363636363,0.36813186813186816,6,4.136363636363637,1,32,0,0,0,0
0,15,true,,20,6,8,2,0.35,2,0.45,1,1.9530209999999784,23,1,7.478260869565218,0.37058823529411766,7,4.043478260869565,1,50,1,0,0,0
0,16,true,,20,6,8,2,0.35,2,0.45,1,1.9292199999999866,21,1,7.619047619047619,0.3860759493670886,7,3.6666666666666665,2,33,2,0,0,0
0,17,true,,20,6,8,2,0.35,2,0.45,1,1.900320000000022,21,1,8,0.39156626506024095,5,4.333333333333333,2,27,0,0,0,0
0,18,true,,20,6,8,2,0.35,2,0.45,1,1.6532809999999927,19,1,8.210526315789474,0.43506493506493504,7,3.789473684210526,1,24,2,0,0,0
0,19,true,,20,6,8,2,0.35,2,0.45,1,1.8044499999999744,20,1,8.8,0.40804597701149425,4,5.55,2,17,3,0,0,0
0,20,true,,20,6,8,2,0.35,2,0.45,1,2.5446829999999636,23,1,6.956521739130435,0.3987341772151899,5,6.521739130434782,2,21,2,0,0,0
0,21,true,,20,6,8,2,0.35,2,0.45,1,1.6936599999999657,20,1,7.4,0.4452054794520548,4,5.35,2,21,2,0,0,0
0,22,true,,20,6,8,2,0.35,2,0.45,1,1.5261559999999577,18,1,9.555555555555555,0.37058823529411766,5,4.444444444444445,1,24,1,0,0,0
0,23,true,,20,6,8,2,0.35,2,0.45,1,1.5168239999999855,18,1,9.333333333333334,0.45180722891566266,8,3.7222222222222223,1,22,1,0,0,0
0,24,true,,20,6,8,2,0.35,2,0.45,1,2.1003390000000195,27,1,6.518518518518518,0.39080459770114945,5,5.37037037037037,2,41,1,0,0,0
0,25,true,,20,6,8,2,0.35,2,0.45,1,1.4889109999999732,17,1,9.411764705882353,0.44936708860759494,6,4.352941176470588,1,20,2,0,0,0
0,26,true,,20,6,8,2,0.35,2,0.45,1,2.040391999999997,30,1,5.733333333333333,0.38235294117647056,7,6.233333333333333,1,46,1,0,0,0
0,27,true,,20,6,8,2,0.35,2,0.45,1,2.445989999999995,26,1,7.230769230769231,0.34408602150537637,7,5.230769230769231,1,38,1,0,0,0
0,28,true,,20,6,8,2,0.35,2,0.45,1,1.8270979999999781,24,1,7,0.42771084337349397,5,6.458333333333333,3,29,3,0,0,0
0,29,true,,20,6,8,2,0.35,2,0.45,1,1.7820459999999798,25,1,7.2,0.398876404494382,6,4.72,1,31,1,0,0,0
0,30,true,,20,6,8,2,0.35,2,0.45,1,1.3228050000000167,19,1,8.421052631578947,0.3860759493670886,5,3.6842105263157894,2,28,3,0,0,0
1,1,true,,30,6,8,2,0.35,2,0.45,1,5.66323600000004,56,1,7.428571428571429,0.3888888888888889,13,5.767857142857143,1,145,4,0,0,0
1,2,true,,30,6,8,2,0.35,2,0.45,1,5.2282410000000255,53,1,7.547169811320755,0.3492462311557789,8,7.943396226415095,1,91,6,0,0,0
1,3,true,,30,6,8,2,0.35,2,0.45,1,4.959883999999988,54,1,7.481481481481482,0.35572139303482586,13,5.185185185185185,1,149,3,0,0,0
1,4,true,,30,6,8,2,0.35,2,0.45,1,5.137190000000032,52,1,7.923076923076923,0.375609756097561,9,8.788461538461538,1,93,3,0,0,0
1,5,true,,30,6,8,2,0.35,2,0.45,1,5.099540999999988,48,1,8.583333333333334,0.4121951219512195,9,7.979166666666667,1,81,4,0,0,0
1,6,true,,30,6,8,2,0.35,2,0.45,1,4.645245999999986,53,1,8,0.3341232227488152,9,5.679245283018868,2,139,5,0,0,0
1,7,true,,30,6,8,2,0.35,2,0.45,1,5.270288999999991,55,1,7.345454545454546,0.40298507462686567,9,8.672727272727272,1,106,2,0,0,0
1,8,true,,30,6,8,2,0.35,2,0.45,1,5.023896000000036,52,1,7.615384615384615,0.35279187817258884,10,7.25,1,119,2,0,0,0
1,9,true,,30,6,8,2,0.35,2,0.45,1,3.75631199999998,45,1,8.977777777777778,0.3681592039800995,14,4.688888888888889,1,103,6,0,0,0
1,10,true,,30,6,8,2,0.35,2,0.45,1,5.955424999999991,63,1,6.5396825396825395,0.36585365853658536,15,5.333333333333333,1,183,0,0,0,0
1,11,true,,30,6,8,2,0.35,2,0.45,1,4.018303000000003,50,1,7.6,0.3941798941798942,8,7.26,2,92,3,0,0,0
1,12,true,,30,6,8,2,0.35,2,0.45,1,4.536946,51,1,8.156862745098039,0.3647342995169082,9,7.784313725490196,1,131,4,0,0,0
1,13,true,,30,6,8,2,0.35,2,0.45,1,4.536640999999975,51,1,7.607843137254902,0.42487046632124353,9,6.509803921568627,1,101,2,0,0,0
1,14,true,,30,6,8,2,0.35,2,0.45,1,4.395635000000027,53,1,7.773584905660377,0.36829268292682926,11,6.150943396226415,1,130,6,0,0,0
1,15,true,,30,6,8,2,0.35,2,0.45,1,4.688279000000023,52,1,8.153846153846153,0.35308056872037913,9,7.923076923076923,1,108,4,0,0,0
1,16,true,,30,6,8,2,0.35,2,0.45,1,4.668346999999983,50,1,8.32,0.3961352657004831,9,5.94,1,100,3,0,0,0
1,17,true,,30,6,8,2,0.35,2,0.45,1,4.247141000000056,52,1,7.6923076923076925,0.3969849246231156,12,5.384615384615385,1,180,5,0,0,0
1,18,true,,30,6,8,2,0.35,2,0.45,1,4.799155999999982,58,1,6.9655172413793105,0.41044776119402987,12,6.4655172413793105,1,174,1,0,0,0
1,19,true,,30,6,8,2,0.35,2,0.45,1,4.837635999999975,58,1,7.103448275862069,0.3439024390243902,12,7.568965517241379,1,128,4,0,0,0
1,20,true,,30,6,8,2,0.35,2,0.45,1,6.25323800000001,62,1,6.451612903225806,0.3844221105527638,11,7.435483870967742,2,163,3,0,0,0
1,21,true,,30,6,8,2,0.35,2,0.45,1,4.537058999999999,53,1,7.39622641509434,0.3871794871794872,11,5.339622641509434,1,123,1,0,0,0
1,22,true,,30,6,8,2,0.35,2,0.45,1,4.809311999999977,61,1,6.885245901639344,0.3660287081339713,17,4.688524590163935,1,150,2,0,0,0
1,23,true,,30,6,8,2,0.35,2,0.45,1,3.8725919999999974,46,1,9.217391304347826,0.43838862559241704,11,5.826086956521739,1,111,3,0,0,0
1,24,true,,30,6,8,2,0.35,2,0.45,1,5.561645999999996,61,1,6.885245901639344,0.3444976076555024,12,7.573770491803279,1,126,4,0,0,0
1,25,true,,30,6,8,2,0.35,2,0.45,1,4.658231999999998,56,1,7.071428571428571,0.3756345177664975,10,6.5,2,124,3,0,0,0
1,26,true,,30,6,8,2,0.35,2,0.45,1,5.67649700000004,63,1,6.5396825396825395,0.3780487804878049,14,6.142857142857143,1,145,4,0,0,0
1,27,true,,30,6,8,2,0.35,2,0.45,1,4.014334000000019,46,1,8.608695652173912,0.350253807106599,8,6.673913043478261,2,98,2,0,0,0
1,28,true,,30,6,8,2,0.35,2,0.45,1,4.759972000000005,53,1,7.849056603773585,0.3743961352657005,9,7.981132075471698,1,108,2,0,0,0
1,29,true,,30,6,8,2,0.35,2,0.45,1,4.900815999999963,54,1,7.703703703703703,0.3743961352657005,7,8.962962962962964,2,124,5,0,0,0
1,30,true,,30,6,8,2,0.35,2,0.45,1,4.943028000000027,56,1,7.214285714285714,0.3855721393034826,11,7.321428571428571,1,138,3,0,0,0
2,1,true,,40,6,8,2,0.35,2,0.45,1,10.466162999999995,100,1,7.4,0.3617886178861789,12,10.24,1,301,5,0,0,0
2,2,true,,40,6,8,2,0.35,2,0.45,1,9.82185000000004,82,1,8.975609756097562,0.391008174386921,10,10.731707317073171,1,219,8,0,0,0
2,3,true,,40,6,8,2,0.35,2,0.45,1,14.16176500000006,103,1,7.223300970873787,0.37331536388140163,14,8.932038834951456,1,360,6,0,0,0
2,4,true,,40,6,8,2,0.35,2,0.45,1,18.10105699999997,98,1,7.469387755102041,0.3917808219178082,17,8.622448979591837,1,373,2,0,0,0
2,5,true,,40,6,8,2,0.35,2,0.45,1,12.307322,96,1,7.375,0.3640226628895184,11,13.479166666666666,2,269,4,0,0,0
2,6,true,,40,6,8,2,0.35,2,0.45,1,11.004515000000083,92,1,7.956521739130435,0.34383561643835614,16,7.217391304347826,1,294,2,0,0,0
2,7,true,,40,6,8,2,0.35,2,0.45,1,11.407905000000028,95,1,7.621052631578947,0.3601108033240997,12,10.526315789473685,2,290,4,0,0,0
2,8,true,,40,6,8,2,0.35,2,0.45,1,13.062753000000043,84,1,8.666666666666666,0.3953168044077135,10,10.892857142857142,3,222,3,0,0,0
2,9,true,,40,6,8,2,0.35,2,0.45,1,13.974642000000017,98,1,7.510204081632653,0.3923705722070845,12,9.724489795918368,2,306,5,0,0,0
2,10,true,,40,6,8,2,0.35,2,0.45,1,13.83239500000002,100,1,7.24,0.37950138504155123,10,13.29,1,253,11,0,0,0
2,11,true,,40,6,8,2,0.35,2,0.45,1,15.35107800000003,92,1,7.6521739130434785,0.3575498575498576,12,10.967391304347826,1,259,8,0,0,0
2,12,true,,40,6,8,2,0.35,2,0.45,1,10.903804000000036,87,1,8.275862068965518,0.3607242339832869,16,7.068965517241379,1,299,6,0,0,0
