cellIndex,gridSize,meanPieceLength,pieceLengthVariance,minPieceLength,bendProbability,minStraightRun,fillFraction,seedCount,failureCount,failedSeeds,generationMsMean,generationMsMin,generationMsMax,attemptsMean,attemptsMin,attemptsMax,segmentCountMean,segmentCountMin,segmentCountMax,coverageMean,coverageMin,coverageMax,meanSegmentLengthMean,meanSegmentLengthMin,meanSegmentLengthMax,bendRateMean,bendRateMin,bendRateMax,dagDepthMean,dagDepthMin,dagDepthMax,meanFreeSetSizeMean,meanFreeSetSizeMin,meanFreeSetSizeMax,minFreeSetSizeMean,minFreeSetSizeMin,minFreeSetSizeMax,edgeCountMean,edgeCountMin,edgeCountMax,shortOfTargetMean,shortOfTargetMin,shortOfTargetMax,belowMinimumMean,belowMinimumMin,belowMinimumMax,wholeRunEscapesMean,wholeRunEscapesMin,wholeRunEscapesMax,shortStraightRunsMean,shortStraightRunsMin,shortStraightRunsMax
0,40,3,2,2,0.35,2,0.45,12,0,,26.64290483333332,20.77803899999992,47.576813000000016,1,1,1,217.25,207,226,1,1,1,3.3499095259125493,3.2035398230088497,3.492957746478873,0.3726104094928149,0.34383561643835614,0.3953168044077135,22.5,16,29,16.005979039365428,9.854460093896714,22.23008849557522,1.25,1,2,880.4166666666666,739,1029,7.333333333333333,3,12,0,0,0,0,0,0,0,0,0
1,40,3,4,2,0.35,2,0.45,12,0,,18.36862558333334,16.933473999999933,20.454395999999974,1,1,1,174.66666666666666,157,187,1,1,1,4.175509998774772,3.8054054054054056,4.585987261146497,0.3726104094928149,0.34383561643835614,0.3953168044077135,21.75,15,32,12.97755136797489,8.631016042780749,15.772727272727273,1.4166666666666667,1,3,671.8333333333334,543,800,5.083333333333333,3,11,0,0,0,0,0,0,0,0,0
2,40,3,8,2,0.35,2,0.45,12,0,,13.361598583333299,11.63992399999995,16.492291000000023,1,1,1,127.41666666666667,109,151,1,1,1,5.770792747388575,4.874172185430464,6.5225225225225225,0.3726104094928149,0.34383561643835614,0.3953168044077135,16.416666666666668,14,19,11.33186731393483,9.154471544715447,16.083333333333332,1.5,1,3,427.8333333333333,307,545,4,1,7,0,0,0,0,0,0,0,0,0
3,40,3,12,2,0.35,2,0.45,12,0,,11.030897499999972,9.270273999999972,12.916660999999976,1,1,1,103.83333333333333,83,119,1,1,1,7.07280108067171,6.184873949579832,8.481927710843374,0.3726104094928149,0.34383561643835614,0.3953168044077135,15.583333333333334,11,19,10.121762310229013,8.061224489795919,12.46875,1.4166666666666667,1,4,322.9166666666667,212,387,3.75,3,5,0,0,0,0,0,0,0,0,0
4,40,3,16,2,0.35,2,0.45,12,0,,8.797402833333328,6.256257000000005,10.722356000000218,1,1,1,80.16666666666667,63,102,1,1,1,9.255679739577873,7.215686274509804,11.428571428571429,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.166666666666666,8,17,8.734035344223395,5.222222222222222,11.872549019607844,1.5833333333333333,1,4,237.25,154,351,4.5,2,8,0,0,0,0,0,0,0.08333333333333333,0,1
5,40,4,2,2,0.35,2,0.45,12,0,,17.912964999999968,16.54685500000005,20.879188999999997,1,1,1,173.66666666666666,164,182,1,1,1,4.190381057211865,4.087912087912088,4.380952380952381,0.3726104094928149,0.34383561643835614,0.3953168044077135,21.666666666666668,17,26,12.681294133674315,10.827586206896552,15.412429378531073,1.1666666666666667,1,2,687,540,834,8.666666666666666,5,15,0,0,0,0,0,0,0,0,0
6,40,4,4,2,0.35,2,0.45,12,0,,15.631867833333311,14.089244000000008,16.91322100000002,1,1,1,151.08333333333334,139,168,1,1,1,4.8233808475426185,4.380952380952381,5.237410071942446,0.3726104094928149,0.34383561643835614,0.3953168044077135,17.583333333333332,12,25,12.920354233251246,8.608108108108109,17.59027777777778,1.4166666666666667,1,3,535.4166666666666,445,632,5.583333333333333,2,9,0,0,0,0,0,0,0,0,0
7,40,4,8,2,0.35,2,0.45,12,0,,12.997127583333338,10.748489000000063,16.13686900000016,1,1,1,118.33333333333333,109,138,1,1,1,6.1766735614371315,5.304347826086956,6.752293577981652,0.3726104094928149,0.34383561643835614,0.3953168044077135,16.25,10,26,10.757145686195143,7.375,13.991735537190083,1.5,1,3,399.4166666666667,329,503,5.083333333333333,2,7,0,0,0,0,0,0,0,0,0
8,40,4,12,2,0.35,2,0.45,12,0,,10.992949083333372,8.615654999999833,13.358833000000004,1,1,1,96.25,76,114,1,1,1,7.6896014934008905,6.315789473684211,9.526315789473685,0.3726104094928149,0.34383561643835614,0.3953168044077135,13.666666666666666,8,18,9.702220062544491,7.434210526315789,12.535087719298245,1.5,1,4,304.3333333333333,227,395,4.583333333333333,2,9,0,0,0,0,0,0,0,0,0
9,40,4,16,2,0.35,2,0.45,12,0,,8.937440250000028,6.903483000000051,12.633699999999862,1,1,1,79.33333333333333,64,92,1,1,1,9.28284016883064,8,11.3125,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.916666666666666,9,19,8.830860629052887,6.644444444444445,12.68235294117647,1.25,1,2,226.5,146,306,3.75,1,8,0,0,0,0,0,0,0,0,0
10,40,6,2,2,0.35,2,0.45,12,0,,13.538691833333322,12.676398000000063,14.569918000000143,1,1,1,123.25,116,131,1,1,1,5.90676494396983,5.4961832061068705,6.184873949579832,0.3726104094928149,0.34383561643835614,0.3953168044077135,15.916666666666666,10,20,10.850575998220846,8.508620689655173,14.403361344537815,1.75,1,4,447.1666666666667,375,509,8.166666666666666,4,13,0,0,0,0,0,0,0.08333333333333333,0,1
11,40,6,4,2,0.35,2,0.45,12,0,,12.124596416666654,11.169546000000082,13.293061999999736,1,1,1,113.16666666666667,104,124,1,1,1,6.444490190285657,5.903225806451613,6.895238095238096,0.3726104094928149,0.34383561643835614,0.3953168044077135,17.666666666666668,10,24,10.070719576189651,7.419354838709677,15.095238095238095,1.5,1,3,398,262,535,7.083333333333333,3,11,0,0,0,0,0,0,0,0,0
12,40,6,8,2,0.35,2,0.45,12,0,,10.499119250000112,8.249501000000237,11.712118000000373,1,1,1,93.91666666666667,82,103,1,1,1,7.780481631924258,7.223300970873787,8.975609756097562,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.666666666666666,10,17,10.14106438770578,7.068965517241379,13.479166666666666,1.4166666666666667,1,3,287.0833333333333,219,373,5.333333333333333,2,11,0,0,0,0,0,0,0,0,0
13,40,6,12,2,0.35,2,0.45,12,0,,8.792400249999938,7.367469999999685,9.63715000000002,1,1,1,81,73,91,1,1,1,9.020806491312333,8.087912087912088,9.698630136986301,0.3726104094928149,0.34383561643835614,0.3953168044077135,13.416666666666666,10,17,8.587770732093517,5.931506849315069,11.821917808219178,1.4166666666666667,1,2,237.83333333333334,135,319,4,2,7,0,0,0,0,0,0,0,0,0
14,40,6,16,2,0.35,2,0.45,12,0,,8.479136249999934,6.621603999999934,16.215381999999863,1,1,1,70.91666666666667,61,83,1,1,1,10.331286954959952,8.867469879518072,11.868852459016393,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.416666666666666,8,22,8.33778046464067,6.120481927710843,11.219178082191782,1.25,1,2,183.83333333333334,148,221,4.916666666666667,3,9,0,0,0,0,0,0,0,0,0
15,40,8,2,2,0.35,2,0.45,12,0,,9.659520916666755,8.967739000000165,10.208032000000003,1,1,1,92.58333333333333,89,96,1,1,1,7.858594371547707,7.541666666666667,8.089887640449438,0.3726104094928149,0.34383561643835614,0.3953168044077135,15.333333333333334,10,25,9.422948406299822,6.23404255319149,11.59375,1.0833333333333333,1,2,299,254,373,9.583333333333334,6,14,0,0,0,0,0,0,0,0,0
16,40,8,4,2,0.35,2,0.45,12,0,,9.380535083333333,8.393381000000318,10.855460000000221,1,1,1,88.75,82,100,1,1,1,8.214313848976419,7.4,8.829268292682928,0.3726104094928149,0.34383561643835614,0.3953168044077135,14.416666666666666,10,19,8.939115340447373,6.865853658536586,13.010989010989011,1.25,1,2,278.1666666666667,225,330,7.5,3,13,0,0,0,0,0,0,0,0,0
17,40,8,8,2,0.35,2,0.45,12,0,,8.757473333333337,7.262611000000106,10.064640000000054,1,1,1,82.66666666666667,71,94,1,1,1,8.877003402947167,7.74468085106383,10.309859154929578,0.3726104094928149,0.34383561643835614,0.3953168044077135,13.916666666666666,10,17,8.347293764402144,6.864197530864198,10.23404255319149,1.1666666666666667,1,2,244,205,323,6.166666666666667,3,12,0,0,0,0,0,0,0,0,0
18,40,8,12,2,0.35,2,0.45,12,0,,7.865115333333354,6.464252000000215,10.088357999999971,1,1,1,71.41666666666667,58,89,1,1,1,10.331998896579945,8.269662921348315,12.482758620689655,0.3726104094928149,0.34383561643835614,0.3953168044077135,11.416666666666666,8,16,8.225138552455096,4.584615384615384,10.47191011235955,1.5833333333333333,1,3,200.08333333333334,131,278,4.833333333333333,2,8,0,0,0,0,0,0,0,0,0
19,40,8,16,2,0.35,2,0.45,12,0,,7.2370776666667025,5.778264000000036,8.247831000000133,1,1,1,66.66666666666667,56,77,1,1,1,10.99886378350395,9.194805194805195,13.071428571428571,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.25,8,23,8.01352908773657,5.621621621621622,10.447761194029852,1.5833333333333333,1,3,180,138,249,5.833333333333333,2,11,0,0,0,0,0,0,0.08333333333333333,0,1
20,40,10,2,2,0.35,2,0.45,12,0,,8.137563250000008,7.35076700000036,10.071802999999818,1,1,1,73.91666666666667,71,78,1,1,1,9.844407608218907,9.282051282051283,10.166666666666666,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.916666666666666,9,17,7.697790039811526,5.4324324324324325,9.208333333333334,1.1666666666666667,1,3,226.33333333333334,195,260,8.916666666666666,2,15,0,0,0,0,0,0,0,0,0
21,40,10,4,2,0.35,2,0.45,12,0,,7.955391249999972,7.298151999999845,8.694824999999582,1,1,1,73.66666666666667,67,79,1,1,1,9.888352274860248,9.265822784810126,10.865671641791044,0.3726104094928149,0.34383561643835614,0.3953168044077135,13.166666666666666,10,17,8.001775295537698,5.917808219178082,11.5,1.1666666666666667,1,3,230.75,175,286,6.583333333333333,2,11,0,0,0,0,0,0,0.16666666666666666,0,1
22,40,10,8,2,0.35,2,0.45,12,0,,7.549194833333407,6.175607000000127,9.408876999999848,1,1,1,69.58333333333333,55,83,1,1,1,10.586216852218621,8.91566265060241,13.163636363636364,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.833333333333334,9,16,7.680487927925351,6.015384615384615,10.012820512820513,1.25,1,3,195.5,152,264,5.75,2,11,0,0,0,0,0,0,0.16666666666666666,0,2
23,40,10,12,2,0.35,2,0.45,12,0,,7.0635534166666885,5.691293000000314,8.221736999999848,1,1,1,63.5,51,72,1,1,1,11.577846347737326,10.166666666666666,14.196078431372548,0.3726104094928149,0.34383561643835614,0.3953168044077135,12.25,9,18,6.952572956539192,4.575757575757576,8.875,1.5833333333333333,1,4,167.83333333333334,118,215,4.916666666666667,2,8,0,0,0,0,0,0,0.08333333333333333,0,1
24,40,10,16,2,0.35,2,0.45,12,0,,6.763109000000024,5.7636640000000625,7.665575999999874,1,1,1,60,50,69,1,1,1,12.224279567535413,10.567164179104477,14.08,0.3726104094928149,0.34383561643835614,0.3953168044077135,10.5,8,14,7.474930416962171,5.288135593220339,9.982758620689655,1.5,1,3,158.08333333333334,122,205,6,4,12,0,0,0,0,0,0,0.25,0,1
25,40,14,2,2,0.35,2,0.45,12,0,,6.009996166666572,5.618535999999949,6.481383000000278,1,1,1,54.166666666666664,53,56,1,1,1,13.431911281125117,12.872727272727273,13.88679245283019,0.3726104094928149,0.34383561643835614,0.3953168044077135,11,8,15,6.687626848751062,4.803571428571429,8.709090909090909,1.1666666666666667,1,2,148.33333333333334,119,199,7.833333333333333,5,12,0,0,0,0,0,0,0.5833333333333334,0,3
26,40,14,4,2,0.35,2,0.45,12,0,,5.85969466666658,5.312112999999954,6.526572999999644,1,1,1,52.75,51,55,1,1,1,13.79158312399156,13.358490566037736,14.117647058823529,0.3726104094928149,0.34383561643835614,0.3953168044077135,11.333333333333334,9,14,6.196195437829733,4.622641509433962,7.961538461538462,1.25,1,2,148.66666666666666,125,176,6.416666666666667,2,10,0,0,0,0,0,0,0.16666666666666666,0,2
27,40,14,8,2,0.35,2,0.45,12,0,,5.919456416666549,5.102722999999969,6.412584000000152,1,1,1,52.166666666666664,48,55,1,1,1,13.964580798307212,12.872727272727273,15.083333333333334,0.3726104094928149,0.34383561643835614,0.3953168044077135,9.916666666666666,7,12,6.962198547725278,5.245283018867925,9.50909090909091,1.25,1,2,134,105,171,4.666666666666667,1,8,0,0,0,0,0,0,0,0,0
28,40,14,12,2,0.35,2,0.45,12,0,,5.973876416666674,5.384954999999991,6.75725599999987,1,1,1,52.166666666666664,47,57,1,1,1,13.997269319968389,12.872727272727273,15.574468085106384,0.3726104094928149,0.34383561643835614,0.3953168044077135,10.416666666666666,8,13,6.783654464147929,5.264150943396227,8.421052631578947,1.0833333333333333,1,2,126.25,97,156,5.833333333333333,1,11,0,0,0,0,0,0,0.08333333333333333,0,1
29,40,14,16,2,0.35,2,0.45,12,0,,5.6199119166666,4.5406339999999545,6.760922999999821,1,1,1,49.166666666666664,41,58,1,1,1,14.974546197983747,12.137931034482758,17.658536585365855,0.3726104094928149,0.34383561643835614,0.3953168044077135,10.333333333333334,7,17,6.530574916543377,4.6976744186046515,9.454545454545455,1.4166666666666667,1,2,113.16666666666667,59,151,6.25,3,10,0,0,0,0,0,0,0.25,0,1
30,40,20,2,2,0.35,2,0.45,12,0,,4.736281250000009,4.279782000000068,5.3609779999997045,1,1,1,38.833333333333336,37,43,1,1,1,18.758644018196367,17.302325581395348,19.783783783783782,0.3726104094928149,0.34383561643835614,0.3953168044077135,9.5,6,12,5.433544413914858,4.052631578947368,7,1.25,1,3,93.16666666666667,69,127,8.416666666666666,5,13,0,0,0,0,0,0,0.4166666666666667,0,2
31,40,20,4,2,0.35,2,0.45,12,0,,4.703488333333287,4.152294999999867,5.220060999999987,1,1,1,38.083333333333336,37,40,1,1,1,19.112391642654803,18.3,20,0.3726104094928149,0.34383561643835614,0.3953168044077135,9.25,7,12,5.349296589099222,3.95,7.447368421052632,1.1666666666666667,1,3,95.08333333333333,79,124,5.333333333333333,3,8,0,0,0,0,0,0,0.4166666666666667,0,2
32,40,20,8,2,0.35,2,0.45,12,0,,4.632657083333432,3.9750910000002477,5.141435000000456,1,1,1,39.416666666666664,36,42,1,1,1,18.49296150387293,17.6,20,0.3726104094928149,0.34383561643835614,0.3953168044077135,9,7,12,5.51198301563353,3.925,6.487804878048781,1.4166666666666667,1,2,93.83333333333333,74,126,6.75,3,9,0,0,0,0,0,0,0.16666666666666666,0,1
33,40,20,12,2,0.35,2,0.45,12,0,,4.7181350833332845,4.052736999999979,6.319789000000128,1,1,1,38.75,33,50,1,1,1,18.948410113930013,14.48,22.181818181818183,0.3726104094928149,0.34383561643835614,0.3953168044077135,7.75,6,10,6.250566220659288,4.868421052631579,11.28,1.5,1,3,82.16666666666667,54,112,5.583333333333333,2,8,0,0,0,0,0,0,0.16666666666666666,0,1
34,40,20,16,2,0.35,2,0.45,12,0,,4.450060166666693,3.755630999999994,5.520782999999938,1,1,1,36.583333333333336,28,43,1,1,1,20.155736821776703,16.930232558139537,25.857142857142858,0.3726104094928149,0.34383561643835614,0.3953168044077135,8.583333333333334,6,13,5.679542637533227,3.75,7.3023255813953485,1.4166666666666667,1,3,82.41666666666667,51,111,4.25,3,6,0,0,0,0,0,0,0.25,0,1
